Extraversion,1,Active,Outgoing,Talkative,Excitement Seeking,Passionate,Affectionate
Extraversion,-1,Reserved,Loner,Quiet,Passive,Sober,Unfeeling
Openness,1,Imaginative,Creative,Original,Perfer variety,Curious,Liberal
Openness,-1,Down to earth,Uncreative,Conventional,Prefer routine,Uncurious,Conservative
Agreeableness,1,Soft hearted,Trusting,Generous,Acquiescent,Lenient,Good natured
Agreeableness,-1,Ruthless,Suspicious,Stingy,Antagonistic,Critical,Irritable
Conscientiousness,1,Conscientious,Hardworking,Well-Orgainized,Punctual,Ambitious,Persevering
Conscientiousness,-1,Negligent,Lazy,Disorganized,Late,Aimless,Quitting
Neuroticism,1,Worrying,Temperamental,Self-pitying,Self-Conscious,Emotional,Vulnerable
Neuroticism,-1,Calm,Even tempered,Self-satisfied,Comfortable,Unemotional,Hardy
